@relation 'TrainingData_g12-1-weka.filters.unsupervised.attribute.Remove-V-R1-2,11-12,14,38-39,45,53'

@attribute PIR_hallway {off,on}
@attribute PIR_livingroom {off,on}
@attribute light_kitchen {off,on}
@attribute light_balcony {off,on}
@attribute audio_livingroom {off,on}
@attribute camera_livingroom {off,on}
@attribute camera_bedroom {off,on}
@attribute temperature_bathroom {low,high}
@attribute class {OtherActivity,g12-1}

@data
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
off,off,off,off,off,off,on,low,g12-1
