@relation 'TrainingData_g1_6-weka.filters.unsupervised.attribute.Remove-V-R5,18,20'

@attribute switch_door_hallway {on,off}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g1_6}

@data
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
on,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
on,off,g1_6
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
on,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,off,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
off,on,OtherActivity
