@relation 'TrainingData_g2_1-weka.filters.unsupervised.attribute.Remove-V-R3,10,17,20'

@attribute light_bedroom {off,on}
@attribute current_TV_livingroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g2_1}

@data
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,standby,off,OtherActivity
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
off,on,on,g2_1
